año,Departamento,Municipio,Lugar Decomiso,Situacion,Autoridad que incauto,nom tipo especie,Nombre comun,Nombre cientifico,Cantidad
2008,RISARALDA,PEREIRA,GALICIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,MONO MAICERO,CEBUS ALBIFRONS,1
2008,RISARALDA,PEREIRA,ALTAGRACIA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,TRAMO URBANO,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,NASUA,NASUA NASUA,1
2008,RISARALDA,LA VIRGINIA,LA PLAYA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,SANTUARIO,LA MARINA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PALMERA,RHINOCLEMMYS MELANOSTERNA,1
2008,RISARALDA,SANTUARIO,LA BRETAÑA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,CUBA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,HOFFMANNI,CHOLOEPUS HOFFMANNI W.H. PETERS,1
2008,RISARALDA,PEREIRA,BELMONTE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,BELMONTE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA PIMPANO,KINOSTERNON SP.,1
2008,RISARALDA,DOSQUEBRADAS,LA UNIÓN,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,TORTUGA MORROCOY,GEOCHELONE CARBONARIA,1
2008,RISARALDA,PEREIRA,SAN JUDAS,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,PEREIRA,BELMONTE,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,IGUANA,IGUANA IGUANA,1
2008,RISARALDA,SANTUARIO,LA MARINA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,MAMIFEROS,LONGICAUDIS ANNECTENS,LUTRA LONGICAUDIS ANNECTENS FORSYTH-MAJOR,1
2008,RISARALDA,SANTUARIO,ZONA URBANA,ENTREGA VOLUNTARIA,POLICIA NACIONAL DE COLOMBIA,REPTILES,BOA CONSTRICTOR,BOA CONSTRICTOR,1
